日期	收盘
2016年7月27日	2,992.00
2016年7月26日	3,050.17
2016年7月25日	3,015.83
2016年7月22日	3,012.82
2016年7月21日	3,039.01
2016年7月20日	3,027.90
2016年7月19日	3,036.60
2016年7月18日	3,043.56
2016年7月15日	3,054.30
2016年7月14日	3,054.02
2016年7月13日	3,060.69
2016年7月12日	3,049.38
2016年7月11日	2,994.92
2016年7月8日	2,988.09
2016年7月7日	3,016.85
2016年7月6日	3,017.29
2016年7月5日	3,006.39
2016年7月4日	2,988.60
2016年7月1日	2,932.48
2016年6月30日	2,929.61
2016年6月29日	2,931.59
2016年6月28日	2,912.56
2016年6月27日	2,895.70
2016年6月24日	2,854.29
2016年6月23日	2,891.96
2016年6月22日	2,905.55
2016年6月21日	2,878.56
2016年6月20日	2,888.81
2016年6月17日	2,885.11
2016年6月16日	2,872.82
2016年6月15日	2,887.21
2016年6月14日	2,842.19
2016年6月13日	2,833.07
2016年6月8日	2,927.16
2016年6月7日	2,936.04
2016年6月6日	2,934.10
2016年6月3日	2,938.68
2016年6月2日	2,925.23
2016年6月1日	2,913.51
2016年5月31日	2,916.62
2016年5月30日	2,822.45
2016年5月27日	2,821.05
2016年5月26日	2,822.44
2016年5月25日	2,815.09
2016年5月24日	2,821.67
2016年5月23日	2,843.64
2016年5月20日	2,825.48
2016年5月19日	2,806.91
2016年5月18日	2,807.51
2016年5月17日	2,843.68
2016年5月16日	2,850.86
2016年5月13日	2,827.11
2016年5月12日	2,835.86
2016年5月11日	2,837.04
2016年5月10日	2,832.59
2016年5月9日	2,832.11
2016年5月6日	2,913.25
2016年5月5日	2,997.84
2016年5月4日	2,991.27
2016年5月3日	2,992.64
2016年4月29日	2,938.32
2016年4月28日	2,945.59
2016年4月27日	2,953.67
2016年4月26日	2,964.70
2016年4月25日	2,946.67
2016年4月22日	2,959.24
2016年4月21日	2,952.89
2016年4月20日	2,972.58
2016年4月19日	3,042.82
2016年4月18日	3,033.66
2016年4月15日	3,078.12
2016年4月14日	3,082.36
2016年4月13日	3,066.64
2016年4月12日	3,023.65
2016年4月11日	3,033.96
2016年4月8日	2,984.96
2016年4月7日	3,008.42
2016年4月6日	3,050.59
2016年4月5日	3,053.07
2016年4月1日	3,009.53
2016年3月31日	3,003.92
2016年3月30日	3,000.64
2016年3月29日	2,919.83
2016年3月28日	2,957.82
2016年3月25日	2,979.43
2016年3月24日	2,960.97
2016年3月23日	3,009.96
2016年3月22日	2,999.36
2016年3月21日	3,018.80
2016年3月18日	2,955.15
2016年3月17日	2,904.83
2016年3月16日	2,870.43
2016年3月15日	2,864.37
2016年3月14日	2,859.50
2016年3月11日	2,810.31
